PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Devin Culp,2572543,TE,TB,ATL,,,,,,1,6,1,,,,,7.10,,1,1,1,1,100,1,,1,19,7.10
Connor Heyward,2568138,TE,PIT,MIA,,,,4,1,,,,,,,,26.00,4,,4,,,,,1,,20,6.40
Pat Freiermuth,2566442,TE,PIT,MIA,,,,,,3,45,,,,,,26.00,,3,3,3,5,60,,,,21,6.00
Greg Dulcich,2567520,TE,MIA,@PIT,,,,,,2,46,,,,,,32.70,,2,2,2,2,100,,,,22,5.60
Chig Okonkwo,2567658,TE,TEN,@SF,,,,,,4,33,,,,,,18.80,,4,4,4,6,67,,,,23,5.30
Daniel Bellinger,2567985,TE,NYG,WAS,,,,,,3,35,,,,,,13.70,,3,3,3,4,75,,,,24,5.00
Julian Hill,2571129,TE,MIA,@PIT,,,,,,2,25,,,,,,32.70,,2,2,2,2,100,,,,25,5.00
Juwan Johnson,2564676,TE,NO,CAR,,,,,,4,30,,,,,,6.40,,4,4,4,4,100,,,,26,5.00
Dalton Kincaid,2569594,TE,BUF,@NE,,,,,,3,34,,,,,,25.00,,3,3,3,4,75,,,,27,4.90
AJ Barner,2572513,TE,SEA,IND,,,,,,3,27,,,,,,8.60,,3,3,3,6,50,,,,28,4.20
Ben Sinnott,2572585,TE,WAS,@NYG,,,,,,1,36,,,,,,7.10,,1,1,1,1,100,,,,29,4.10
Darnell Washington,2570257,TE,PIT,MIA,,,,,,3,25,,,,,,26.00,,3,3,3,4,75,,,,30,4.00
Cole Kmet,2563704,TE,CHI,CLE,,,,,,2,28,,,,,,11.90,,2,2,2,4,50,,,,31,3.80
Josh Oliver,2562693,TE,MIN,@DAL,,,,,,1,18,,,,,,12.40,,1,1,1,1,100,,,,32,3.80
Cade Stover,2572105,TE,HOU,ARI,,,,,,3,22,,,,,,21.30,,3,3,3,3,100,,,,33,3.70
Charlie Woerner,2565129,TE,ATL,@TB,,,,,,2,12,,,,,,43.80,,2,2,2,2,100,,,,34,3.70
Luke Schoonmaker,2569690,TE,DAL,MIN,,,,,,1,29,,,,,,8.10,,1,1,1,1,100,,,,35,3.40
Tyler Warren,2574204,TE,IND,@SEA,,,,,,3,19,,,,,,3.40,,3,3,3,6,50,,,,36,3.40
